example_id	analysis	panel_id	exposure_id	exposure	iv_threshold	n_instruments	n_outcomes	title	description
mvp72__CRP	mvp72	mvp_72_chronic_disease_outcomes	CRP	CRP	mvp72_primary	37	72	CRP against MVP72 chronic disease panel	Processed manuscript-derived example with 37 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__DBP_auto	mvp72	mvp_72_chronic_disease_outcomes	DBP_auto	DBP_auto	mvp72_primary	39	72	DBP_auto against MVP72 chronic disease panel	Processed manuscript-derived example with 39 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Eosinophil_count	mvp72	mvp_72_chronic_disease_outcomes	Eosinophil_count	Eosinophil_count	mvp72_primary	52	72	Eosinophil_count against MVP72 chronic disease panel	Processed manuscript-derived example with 52 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Glucose	mvp72	mvp_72_chronic_disease_outcomes	Glucose	Glucose	mvp72_primary	10	72	Glucose against MVP72 chronic disease panel	Processed manuscript-derived example with 10 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__HbA1c	mvp72	mvp_72_chronic_disease_outcomes	HbA1c	HbA1c	mvp72_primary	51	72	HbA1c against MVP72 chronic disease panel	Processed manuscript-derived example with 51 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__HDL_C	mvp72	mvp_72_chronic_disease_outcomes	HDL_C	HDL_C	mvp72_primary	47	72	HDL_C against MVP72 chronic disease panel	Processed manuscript-derived example with 47 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Hematocrit	mvp72	mvp_72_chronic_disease_outcomes	Hematocrit	Hematocrit	mvp72_primary	42	72	Hematocrit against MVP72 chronic disease panel	Processed manuscript-derived example with 42 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Hemoglobin	mvp72	mvp_72_chronic_disease_outcomes	Hemoglobin	Hemoglobin	mvp72_primary	58	72	Hemoglobin against MVP72 chronic disease panel	Processed manuscript-derived example with 58 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Hip_circumference	mvp72	mvp_72_chronic_disease_outcomes	Hip_circumference	Hip_circumference	mvp72_primary	59	72	Hip_circumference against MVP72 chronic disease panel	Processed manuscript-derived example with 59 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__IGF_1	mvp72	mvp_72_chronic_disease_outcomes	IGF_1	IGF_1	mvp72_primary	63	72	IGF_1 against MVP72 chronic disease panel	Processed manuscript-derived example with 63 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__LDL_C	mvp72	mvp_72_chronic_disease_outcomes	LDL_C	LDL_C	mvp72_primary	40	72	LDL_C against MVP72 chronic disease panel	Processed manuscript-derived example with 40 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Leisure_screen_time	mvp72	mvp_72_chronic_disease_outcomes	Leisure_screen_time	Leisure_screen_time	mvp72_primary	13	72	Leisure_screen_time against MVP72 chronic disease panel	Processed manuscript-derived example with 13 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Lymphocyte_count	mvp72	mvp_72_chronic_disease_outcomes	Lymphocyte_count	Lymphocyte_count	mvp72_primary	69	72	Lymphocyte_count against MVP72 chronic disease panel	Processed manuscript-derived example with 69 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Mean_arterial_pressure	mvp72	mvp_72_chronic_disease_outcomes	Mean_arterial_pressure	Mean_arterial_pressure	mvp72_primary	35	72	Mean_arterial_pressure against MVP72 chronic disease panel	Processed manuscript-derived example with 35 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Monocyte_count	mvp72	mvp_72_chronic_disease_outcomes	Monocyte_count	Monocyte_count	mvp72_primary	59	72	Monocyte_count against MVP72 chronic disease panel	Processed manuscript-derived example with 59 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Neutrophil_count	mvp72	mvp_72_chronic_disease_outcomes	Neutrophil_count	Neutrophil_count	mvp72_primary	38	72	Neutrophil_count against MVP72 chronic disease panel	Processed manuscript-derived example with 38 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Pulse_pressure	mvp72	mvp_72_chronic_disease_outcomes	Pulse_pressure	Pulse_pressure	mvp72_primary	47	72	Pulse_pressure against MVP72 chronic disease panel	Processed manuscript-derived example with 47 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Pulse_rate	mvp72	mvp_72_chronic_disease_outcomes	Pulse_rate	Pulse_rate	mvp72_primary	22	72	Pulse_rate against MVP72 chronic disease panel	Processed manuscript-derived example with 22 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__SBP_auto	mvp72	mvp_72_chronic_disease_outcomes	SBP_auto	SBP_auto	mvp72_primary	31	72	SBP_auto against MVP72 chronic disease panel	Processed manuscript-derived example with 31 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__SHBG	mvp72	mvp_72_chronic_disease_outcomes	SHBG	SHBG	mvp72_primary	32	72	SHBG against MVP72 chronic disease panel	Processed manuscript-derived example with 32 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Sleep_duration	mvp72	mvp_72_chronic_disease_outcomes	Sleep_duration	Sleep_duration	mvp72_primary	8	72	Sleep_duration against MVP72 chronic disease panel	Processed manuscript-derived example with 8 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Smoking_initiation	mvp72	mvp_72_chronic_disease_outcomes	Smoking_initiation	Smoking_initiation	mvp72_primary	9	72	Smoking_initiation against MVP72 chronic disease panel	Processed manuscript-derived example with 9 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Testosterone	mvp72	mvp_72_chronic_disease_outcomes	Testosterone	Testosterone	mvp72_primary	8	72	Testosterone against MVP72 chronic disease panel	Processed manuscript-derived example with 8 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Total_cholesterol	mvp72	mvp_72_chronic_disease_outcomes	Total_cholesterol	Total_cholesterol	mvp72_primary	53	72	Total_cholesterol against MVP72 chronic disease panel	Processed manuscript-derived example with 53 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Triglycerides	mvp72	mvp_72_chronic_disease_outcomes	Triglycerides	Triglycerides	mvp72_primary	54	72	Triglycerides against MVP72 chronic disease panel	Processed manuscript-derived example with 54 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Trunk_fat_mass	mvp72	mvp_72_chronic_disease_outcomes	Trunk_fat_mass	Trunk_fat_mass	mvp72_primary	61	72	Trunk_fat_mass against MVP72 chronic disease panel	Processed manuscript-derived example with 61 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Urate_publication	mvp72	mvp_72_chronic_disease_outcomes	Urate_publication	Urate_publication	mvp72_primary	43	72	Urate_publication against MVP72 chronic disease panel	Processed manuscript-derived example with 43 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Waist_circumference	mvp72	mvp_72_chronic_disease_outcomes	Waist_circumference	Waist_circumference	mvp72_primary	53	72	Waist_circumference against MVP72 chronic disease panel	Processed manuscript-derived example with 53 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__Walking_pace	mvp72	mvp_72_chronic_disease_outcomes	Walking_pace	Walking_pace	mvp72_primary	10	72	Walking_pace against MVP72 chronic disease panel	Processed manuscript-derived example with 10 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
mvp72__WHR	mvp72	mvp_72_chronic_disease_outcomes	WHR	WHR	mvp72_primary	34	72	WHR against MVP72 chronic disease panel	Processed manuscript-derived example with 34 harmonized complete-case instruments and 72 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Added_salt_consumption__p5e_07	negative_control	O3_original	Added_salt_consumption	Added salt consumption	5e-07	102	3	Added salt consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 102 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Added_salt_consumption__p5e_08	negative_control	O3_original	Added_salt_consumption	Added salt consumption	5e-08	65	3	Added salt consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 65 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__alcohol_consumption_quality__p5e_07	negative_control	O3_original	alcohol_consumption_quality	Alcohol consumption	5e-07	13	3	Alcohol consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 13 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__alcohol_consumption_quality__p5e_08	negative_control	O3_original	alcohol_consumption_quality	Alcohol consumption	5e-08	6	3	Alcohol consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 6 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Beef_consumption__p5e_07	negative_control	O3_original	Beef_consumption	Beef consumption	5e-07	10	3	Beef consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 10 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Beef_consumption__p5e_08	negative_control	O3_original	Beef_consumption	Beef consumption	5e-08	5	3	Beef consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 5 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Beer_or_cider_consumption__p5e_07	negative_control	O3_original	Beer_or_cider_consumption	Beer or cider consumption	5e-07	30	3	Beer or cider consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 30 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Beer_or_cider_consumption__p5e_08	negative_control	O3_original	Beer_or_cider_consumption	Beer or cider consumption	5e-08	15	3	Beer or cider consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 15 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Bread_consumption__p5e_07	negative_control	O3_original	Bread_consumption	Bread consumption	5e-07	37	3	Bread consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 37 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Bread_consumption__p5e_08	negative_control	O3_original	Bread_consumption	Bread consumption	5e-08	21	3	Bread consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 21 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Champagne_or_white_wine_cons__p5e_07	negative_control	O3_original	Champagne_or_white_wine_consumption	Champagne or white wine consumption	5e-07	6	3	Champagne or white wine consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 6 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Champagne_or_white_wine_cons__p5e_08	negative_control	O3_original	Champagne_or_white_wine_consumption	Champagne or white wine consumption	5e-08	5	3	Champagne or white wine consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 5 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Cheese_consumption__p5e_07	negative_control	O3_original	Cheese_consumption	Cheese consumption	5e-07	35	3	Cheese consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 35 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Cheese_consumption__p5e_08	negative_control	O3_original	Cheese_consumption	Cheese consumption	5e-08	14	3	Cheese consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 14 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__coffee_consumption_measureme__p5e_07	negative_control	O3_original	coffee_consumption_measurement	Coffee consumption	5e-07	15	3	Coffee consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 15 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__coffee_consumption_measureme__p5e_08	negative_control	O3_original	coffee_consumption_measurement	Coffee consumption	5e-08	12	3	Coffee consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 12 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Cooked_vegetables_consumptio__p5e_07	negative_control	O3_original	Cooked_vegetables_consumption	Cooked vegetables consumption	5e-07	18	3	Cooked vegetables consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 18 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Cooked_vegetables_consumptio__p5e_08	negative_control	O3_original	Cooked_vegetables_consumption	Cooked vegetables consumption	5e-08	7	3	Cooked vegetables consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 7 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Decaffeinated_coffee_consump__p5e_07	negative_control	O3_original	Decaffeinated_coffee_consumption	Decaffeinated coffee consumption	5e-07	3	3	Decaffeinated coffee consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 3 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Decaffeinated_coffee_consump__p5e_08	negative_control	O3_original	Decaffeinated_coffee_consumption	Decaffeinated coffee consumption	5e-08	3	3	Decaffeinated coffee consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 3 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Dried_fruit_consumption__p5e_07	negative_control	O3_original	Dried_fruit_consumption	Dried fruit consumption	5e-07	66	3	Dried fruit consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 66 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Dried_fruit_consumption__p5e_08	negative_control	O3_original	Dried_fruit_consumption	Dried fruit consumption	5e-08	38	3	Dried fruit consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 38 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Drink_temperature__p5e_07	negative_control	O3_original	Drink_temperature	Drink temperature	5e-07	100	3	Drink temperature against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 100 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Drink_temperature__p5e_08	negative_control	O3_original	Drink_temperature	Drink temperature	5e-08	55	3	Drink temperature against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 55 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Fish_consumption__p5e_07	negative_control	O3_original	Fish_consumption	Fish consumption	5e-07	37	3	Fish consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 37 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Fish_consumption__p5e_08	negative_control	O3_original	Fish_consumption	Fish consumption	5e-08	25	3	Fish consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 25 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Fresh_fruit_consumption__p5e_07	negative_control	O3_original	Fresh_fruit_consumption	Fresh fruit consumption	5e-07	81	3	Fresh fruit consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 81 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Fresh_fruit_consumption__p5e_08	negative_control	O3_original	Fresh_fruit_consumption	Fresh fruit consumption	5e-08	46	3	Fresh fruit consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 46 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Fruit_consumption__p5e_07	negative_control	O3_original	Fruit_consumption	Fruit consumption	5e-07	90	3	Fruit consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 90 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Fruit_consumption__p5e_08	negative_control	O3_original	Fruit_consumption	Fruit consumption	5e-08	49	3	Fruit consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 49 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Ground_coffee_consumption__p5e_07	negative_control	O3_original	Ground_coffee_consumption	Ground coffee consumption	5e-07	6	3	Ground coffee consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 6 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Ground_coffee_consumption__p5e_08	negative_control	O3_original	Ground_coffee_consumption	Ground coffee consumption	5e-08	4	3	Ground coffee consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 4 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Healthy_food_consumption__p5e_07	negative_control	O3_original	Healthy_food_consumption	Healthy food consumption	5e-07	73	3	Healthy food consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 73 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Healthy_food_consumption__p5e_08	negative_control	O3_original	Healthy_food_consumption	Healthy food consumption	5e-08	38	3	Healthy food consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 38 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Instant_coffee_consumption__p5e_07	negative_control	O3_original	Instant_coffee_consumption	Instant coffee consumption	5e-07	15	3	Instant coffee consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 15 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Instant_coffee_consumption__p5e_08	negative_control	O3_original	Instant_coffee_consumption	Instant coffee consumption	5e-08	10	3	Instant coffee consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 10 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Lamb_consumption__p5e_07	negative_control	O3_original	Lamb_consumption	Lamb consumption	5e-07	37	3	Lamb consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 37 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
neg__Lamb_consumption__p5e_08	negative_control	O3_original	Lamb_consumption	Lamb consumption	5e-08	15	3	Lamb consumption against Negative-control childhood maltreatment panel	Processed manuscript-derived example with 15 harmonized complete-case instruments and 3 correlated outcomes. The IV set and working outcome-correlation matrix are precomputed from Supplementary Data 03 and 04.
